name,price,memory,core_clock,color
Zotac GAMING Trinity OC,829.99,12,2310,Black
Asus TUF GAMING OC,659,12,1980,Black
Gigabyte GAMING OC,589.99,12,1920,Black
Asus TUF GAMING OC,326.45,6,1530,Black
ASRock Taichi OC,989.99,24,2300,Black
Asus GT730-4H-SL-2GD5,111.2,2,902,Blue
XFX Speedster QICK 319 BLACK,406.94,12,1700,Black
AMD Radeon RX 6950 XT,,16,1890,Black
MSI GeForce RTX 2070 SUPER VENTUS GP OC,679,8,1605,Silver / Black
EVGA FTW3 ULTRA GAMING,1314.99,24,1395,Black
PowerColor Fighter,349.99,12,2150,Black
PowerColor Hellhound Spectral,579.99,16,1295,White
Asus TUF GAMING OC,577.82,8,1500,Black
MSI VENTUS 3X OC,479.99,16,2310,Silver / Black
MSI GTX 1050 Ti 4GT OC,262,4,1341,Black / White
Asus STRIX GAMING,599,11,1493,Black
PowerColor Red Devil OC,519.99,16,1295,Black
ASRock Steel Legend OC,569.99,16,1270,White
Asus TUF GAMING OC,379.99,16,1720,Black
MSI VENTUS 3X E OC,1899.99,24,2235,Silver / Black
Asus DUAL Advanced,449.99,16,2310,Black
Gigabyte AORUS MASTER,1199.99,16,2210,Black
MSI GeForce GTX 1060 6GT OCV1,,6,1544,Black / White
MSI VENTUS 2X OC,549.99,12,1920,Silver / Black
Asus DUAL OC V2,279.99,8,1720,Black
Gigabyte GAMING OC,559,8,1500,Black / Silver
Asus DUAL EVO OC,599.99,12,1980,Black
MSI VENTUS 3X OC,395.99,8,1410,Black / Gray
PowerColor Red Devil,999.99,24,2300,Black
ASRock Phantom Gaming D,,8,1257,Black / Silver
PNY VERTO,439.99,16,2310,Black
Zotac GAMING Twin Edge OC,449,8,1500,Black
Asus DUAL,609.99,12,1980,Black
Sapphire 21330-01-20G,509.99,16,1295,Black
Asus TUF GAMING OC,799.99,20,2000,Black
PNY VERTO,1749.99,24,2235,Black
PowerColor Fighter,249.99,8,2055,Black
NVIDIA Founders Edition,,8,1470,Silver
MSI VENTUS 3X OC,554.99,12,1920,Silver / Black
PNY XLR8 Gaming VERTO EPIC-X RGB OC,1029.99,16,2210,Black
Gigabyte AERO OC V2,809.99,12,2310,White / Silver
Gigabyte GAMING OC,,8,1410,Black / Silver
PowerColor Fighter OC,399.99,12,1700,Black
MSI GAMING X SLIM,606,16,2310,White
ASRock Phantom Gaming D OC,499.99,16,1825,Black / Silver
PNY VERTO,583.61,12,1920,Black
EVGA FTW3 ULTRA GAMING LE iCX3,949.99,12,1365,Black
EVGA FTW3 ULTRA GAMING,571.99,8,1500,Black / Silver
Gigabyte GAMING,,8,1721,Black / Orange
MSI GAMING X,,6,1040,Black
NVIDIA Founders Edition,,24,1395,Black / Silver
Asus DUAL OC,799.99,16,2340,Black
MSI VENTUS 3X,799.99,16,2340,Silver / Black
Sapphire PULSE,139.99,4,2310,Black / Red
Gigabyte EAGLE OC,167,6,1040,Black
Asus ROG STRIX GAMING,1979.99,24,2235,White
NVIDIA Founders Edition,,8,1575,Black
Asus ROG STRIX OC,389,8,1830,Black
PowerColor Hellhound OC,439.99,12,1700,Black
XFX Speedster QICK 309,329,16,1720,Black
ASRock Challenger D,199.99,8,2200,Black
PowerColor Fighter OC,509.99,16,1295,Black
MSI GAMING X,289,6,1530,Black
