name,price,capacity,
Seagate Barracuda Compute,81.5,2000,
Addlink S70,67.88,1000,
Samsung 950 PRO,,256,
Intel SSDPEDMD020T401,1701.41,2000,
Seagate Pipeline HD,,1000,
Seagate IronWolf Pro,154.11,6000,
Corsair MP600,108.99,1000,
Samsung 840 Evo,,120,
Toshiba P300,99.45,3000,
Inland TN320,42.99,512,
Kingston A2000,,250,
Western Digital Blue,469.98,4000,
PNY CS900,124.99,2000,
Fantom Drives VENOM8,799.95,8000,
ADATA Ultimate SU650,9.5,120,
Western Digital DC HC530,275,14000,
Corsair MP600 MICRO,94.99,1000,
Western Digital Black SN750,44,250,
ADATA Legend 800,50.79,500,
Intel 665p,,1000,
Samsung PM893,1155,7680,
Gigabyte AORUS Gen4 5000E,88.98,1000,
Kingston Fury Renegade with Heat Sink,209.99,2000,
Klevv CRAS C710,39.99,512,
TEAMGROUP T-Force Vulcan Z,103.99,2000,
Corsair MP700 PRO w/Heatsink,169.99,1000,
PNY CS1031,147.85,2000,
TEAMGROUP CX2,32.99,512,
Timetec 35TTFP6PCIE,37.99,512,
Intenso Top Performance,57.3,512,
Seagate IronWolf Pro,292.73,8000,
Western Digital Green,42,480,
Western Digital Ultrastar DC HC520,274.85,12000,
Toshiba MD07ACA,,12,
Patriot P400 Lite,29.99,250,
Lexar NM620,,256,
Western Digital Black SN750 SE,69.98,500,
Seagate ST4000NM0024,68,4000,
Seagate SkyHawk Surveillance +Rescue,89.99,4000,
Corsair MP600 PRO NH,99.99,1000,
Western Digital Green,,120,
Seagate IronWolf Pro,222.11,10000,
Seagate ST1000LM014,42.25,1000,
Corsair MP600 Force Series Gen4,,2000,
Lexar Professional NM800PRO,79.99,1000,
Acer FA100,114.99,2000,
KingSpec NX-2280,,2000,
Sabrent Rocket 4.0,,2000,
Western Digital WD Blue,82.99,4000,
Seagate IronWolf NAS,150.71,6000,
KingSpec XG7000,268.99,4000,
Hitachi A7K1000-1000,38.68,1000,
Seagate ST1000LM035,38.99,1000,
Toshiba HDD2J92,,640,
Western Digital Red,109.99,6000,
ADATA Legend 960,97.68,1000,
Acer Predator GM3500,,512,
